song_name,artist,mood,language,link,rank
Buttabomma,Armaan Malik,Happy,Telugu,https://youtu.be/2mDCVzruYzQ?si=rRdEX5fQpsbI3u9I,4
Badtameez dil,Benny Dayal,Happy,Hindi,https://youtu.be/II2EO3Nw4m0?si=1RK9p24CZhFkycJL,5
Sapphire,Ed sheeran,Happy,English,https://youtu.be/JgDNFQ2RaLQ?si=YEVd47qlljpzxeI7,1
Rangule Rangule,Anurag Kulkarni,Happy,Telugu,https://youtu.be/qaf4cDPsW68?si=e1HgXGHYJjHyXJG3,2
Happy,Pharrell Williams,Happy,English,https://youtu.be/ZbZSe6N_BXs?si=0ynMe8u1N9q4tVez,3
Nee Chitram Choosi,Anurag Kulkarni,Happy,Telugu,https://youtu.be/dc-fOyYjtk8?si=DK2m6aATjQf3MN4u,6
Gallan Goodiyan,Yashitha sharma,Happy,Hindi,https://youtu.be/jCEdTq3j-0U?si=vgdDzemkRh-egUGO,7
Cant't stop the feeling,Justin Timberlake,Happy,English,https://youtu.be/ru0K8uYEZWw?si=PsoMYJL0WhbI0Vyw,9
Ude Dil Befikre,Benny Dayal,Happy,English,https://youtu.be/gXe-KWe-YMs?si=drqThzZ8NSm9u_BI,8
London Thumakda,Labh Janjua,Happy,Hindi,https://youtu.be/udra3Mfw2oo?si=W6kyF0Dgf-ERo49O,10
saradaga kaasepaina,Karthik,Happy,Telugu,https://youtu.be/6rZWK_KEMAw?si=VFPdnMDYqz8OL6Uf,11
Oke oka lokam,Sid Sriram,Happy,Telugu,https://youtu.be/hP93gA8F6sM?si=UasGEVDhstlZm07k,12
Best Day of my life,American Authors,Happy,English,https://youtu.be/Y66j_BUCBMY?si=8z6NVcnmFlUODR8b,13
Kar Gayi Chull,Badshah,Happy,Hindi,https://youtu.be/NTHz9ephYTw?si=LERUE1e9QCa-HlbB,14
On the top of my World,Imagine Dragons,Happy,English,https://youtu.be/w5tWYmIOWGk?si=AAXBzlm5xOFeweFn,15
